d_4_12,d_16_20,C
0.05389183782053722,0.28430982447781383,r
0.06135197919009053,0.2894062995066556,r
0.052088969341974906,0.28759967395480723,r
0.0540760783573777,0.28844114416029665,r
0.0580860167096591,0.2872849753299674,r
0.055447866347767764,0.28583897685731946,r
0.05218743991942885,0.28677586516893877,r
0.05185480503840865,0.28582774180189224,r
0.05776938071824342,0.2853516286361077,r
0.05705643865877059,0.287045512772485,r
0.057253365998459,0.28836414382086306,r
0.04960197988640338,0.29175849952103405,r
0.044768377618012965,0.2869324048010525,r
0.058032886755335196,0.2879992112030553,r
0.055400535951704064,0.29063617006295095,r
0.055705323337112575,0.2893052752246609,r
0.05600722168701617,0.29307492948826347,r
0.057087016925624186,0.28930880841741524,r
0.05226158337157743,0.2850356742256584,r
0.05280251047176238,0.29567966129512013,r
0.05792745364115848,0.28922063081421173,r
0.05542004568794131,0.2956867659615551,r
0.06237256321340106,0.2918391389461328,r
0.05212110532950506,0.2922188005125047,r
0.0569402248515118,0.29523953786955415,r
0.051249701518373485,0.2943354621963286,r
0.0605189600762912,0.2940576119351425,r
0.05552127435012933,0.29271867220829667,r
0.051102750752860464,0.29648174972808133,r
0.050478163796811255,0.2884322339043222,r
0.060080888874680986,0.2987962566402082,r
0.051628497562219954,0.2968098810412209,r
0.054707481111095115,0.2976675265399415,r
0.054054521332799685,0.3039447536007905,r
0.05752154543251027,0.30790223966003427,r
0.06013600010425939,0.31205021966128965,r
0.05700368478161261,0.3149282344550291,r
0.061771879305148485,0.3187742733004185,r
0.04508601302943541,0.3133905517529512,r
0.05443292303082182,0.3074305539449799,r
0.0515202469973148,0.30983833938622596,r
0.04491196084716904,0.3189520609039941,r
0.03856138067357208,0.3172110841430437,r
0.03459493396239593,0.31243608070683665,r
0.03791998022328586,0.31547701863468164,r
0.03643823543252881,0.3127036138407199,r
0.03992961226982941,0.31256077506604124,r
0.04002496959233953,0.3108922586470706,r
0.04113832351867686,0.31440816486403306,r
0.04946363703525376,0.3115875133061458,r
0.057572987282161016,0.30957906115803574,r
0.05122742073986048,0.31494534160967547,r
0.0605838049241648,0.3104755748041625,r
0.05560298735248485,0.30563656071725087,r
0.05621987255406802,0.2996617129800226,r
0.04872621436182564,0.27716797596777487,r
0.05413449365159671,0.2873014815549192,r
0.049606449469072694,0.29122634906223765,r
0.045107051287256054,0.26862403755621245,r
0.039030096822483255,0.3146506075338961,r
0.04567353689025949,0.30266597554335584,r
0.04009943189191918,0.3028122972628836,r
0.03588950069703379,0.30273174900749217,r
0.031037441601975524,0.3020678854082953,r
0.029147617306756666,0.30006964767741756,r
0.03881160660764637,0.2942523361923033,r
0.03916670534483733,0.2884758530096401,r
0.03892852969968199,0.29206242317320397,r
0.0378707433004114,0.28260569573309713,r
0.029177118276552668,0.295233526186074,r
0.030106275519301905,0.29091172445793395,r
0.033791069438865916,0.28101051056816134,r
0.03587267614061124,0.2775943992787844,r
0.03745684877600462,0.2746062496189525,r
0.03300080574197046,0.2792214097525512,r
0.04085002514646288,0.2763678757675886,r
0.03544367603031735,0.28019118996497155,r
0.04311236424972713,0.27621426995636583,r
