d_4_12,d_16_20,C
0.0445040487296302,0.0329998038292847,z
0.0452650117894954,0.0319860868448453,z
0.0428133212647206,0.0323067584215933,z
0.0391981975907199,0.0317449840317032,z
0.0388784146133639,0.0324030390988756,z
0.0348047459326593,0.03255996714689,z
0.038206758802526,0.0318739830271189,z
0.0387611769725105,0.0321322828768531,z
0.0392314227444666,0.0359438842380256,z
0.0350911666339601,0.0349125201888338,z
0.0286265115433541,0.0382131666346663,z
0.026679531488503,0.0326599559176397,z
0.0339900642257512,0.038119835632061,z
0.0340693181676301,0.0344578738547863,z
0.0434395842924101,0.0371843226521223,z
0.0439353094227722,0.0363659071705939,z
0.0414986351926065,0.0351484702846021,z
0.0390697676499643,0.0354741193128304,z
0.0369526763221621,0.0375674490993417,z
0.0369682689894987,0.0368076656280656,z
0.0338409409463346,0.0408745393486226,z
0.0275300022954403,0.048854786896195,z
0.0270010570565769,0.0429790558813137,z
0.0297681229341106,0.0355967191086544,z
0.0266919522018291,0.0403285853288266,z
0.0302499660515383,0.0401881464549419,z
0.0241849076733662,0.041325549970254,z
0.02658855119781,0.036473117454683,z
0.0268998324420704,0.0334672567018712,z
0.0344082586220535,0.0339933425284047,z
0.0342629721468904,0.0353407363040228,z
0.0347557317812693,0.0359418392243298,z
0.0321516950580645,0.035992383214679,z
0.041314228549964,0.0392414957448431,z
0.042580727121607,0.036683116935373,z
0.0357610843984621,0.0385596895071249,z
0.029446751600179,0.0406887146810299,z
0.0201667343703809,0.0340970222059141,z
0.0227524967520341,0.0384629808039656,z
0.027158906307644,0.0361636697443264,z
0.0251960869556489,0.0383107713727804,z
0.022868649577559,0.0354618473492436,z
0.0283716267176223,0.040515703143424,z
0.029773062773077,0.0380888549725538,z
0.0293761776606906,0.0381366374732445,z
0.0291643357448678,0.0364455626162517,z
0.0337962698646021,0.0366984624654207,z
0.0268686569047304,0.0348369939777158,z
0.0299855520433675,0.0362992469467335,z
0.0224345138160855,0.0396859898750139,z
0.0266611431378281,0.0378828217482707,z
0.0209578843206,0.0384563689666214,z
0.0259050297438889,0.0396402330207426,z
0.0376912561238381,0.034062010343507,z
0.0259076023567463,0.0355451501419645,z
0.0378138970594572,0.0337939589952938,z
0.0409224831329106,0.0347760613345751,z
0.0359317896157877,0.0345813888482503,z
0.0380332663938943,0.0360113917561008,z
0.0428805015665505,0.0370482035614449,z
0.039433640337645,0.036228026133803,z
0.0360351549230294,0.0360339678375168,z
0.0423250974443937,0.0354006436969549,z
0.0395205819584996,0.035906960763526,z
0.0361982672027001,0.0365740630390156,z
0.0305165720179401,0.0389434133359384,z
0.0357222988148567,0.0358597611690525,z
0.0348498756941715,0.0397905163618288,z
0.0339573825189992,0.0404936565450954,z
0.0540737464911742,0.0313550574563647,z
0.0390747205631859,0.0337710146592705,z
0.0386341452153813,0.0398801631207024,z
0.0303422407754051,0.0414044423418251,z
0.0518589487047416,0.0388190434696995,z
0.0385606574378155,0.0409868203417996,z
0.0367194988669116,0.0406937653608092,z
0.0370381656526617,0.0429174236168031,z
0.0454940097481036,0.039226312684336,z
0.0398299813149956,0.0370133272090816,z
0.0524278980050458,0.0400073083745261,z
0.0641445088294099,0.0340198045094578,z
0.0681017387866024,0.0342935842063889,z
0.0720709008884078,0.0374504403724038,z
0.0650200484419197,0.0401441603088656,z
0.0664293254206487,0.0339007413256195,z
0.0620380836129584,0.0349780971600883,z
0.057359668085584,0.0376847542980886,z
0.057545016997616,0.0388219945331486,z
0.0552850350969781,0.038186310440052,z
0.0541608455290228,0.0368401475582153,z
0.0599534096483395,0.0395759285016988,z
0.0539142283909787,0.0377761656012229,z
0.0555328431509069,0.0369810967387726,z
0.0552857383222196,0.0367781528827606,z
0.0631859244783044,0.0367644217973426,z
0.0504117535860778,0.0398370621048237,z
0.0484591506985115,0.0381677238865433,z
0.0546546869312286,0.0361483142123292,z
0.0558778572939016,0.032215521348943,z
0.0544858394367296,0.031782441983081,z
0.043320265901455,0.03328044641279,z
0.0398109568432831,0.0374245431075474,z
0.0418088694965357,0.0379977394092397,z
0.0419832532723946,0.0386137697575062,z
0.0435205915972177,0.03861867497583,z
0.0365473301657875,0.0381944584488837,z
0.0410314960498282,0.0379065842397958,z
0.0487353630152707,0.0389523812962646,z
0.0328253563212829,0.0396916934965783,z
0.0351785128518344,0.0397066373407714,z
0.0222858123493339,0.0441888090127912,z
0.0378191399459314,0.0387506234559935,z
0.0389028256997979,0.0408332733968633,z
0.0371884680975342,0.044398612732161,z
0.0252460618122738,0.0457148721463821,z
0.0257542430392861,0.0400597770252611,z
0.0230987236503062,0.0419468654412939,z
0.0211733154535766,0.0424936774805142,z
0.0195772039389689,0.0418293271948713,z
0.0187955206819998,0.0389943290458292,z
0.0291343087603063,0.0391418453503124,z
0.0225625261964439,0.0412176625923191,z
0.0284629098125927,0.0388638520048462,z
0.0266736644246977,0.0407791869510336,z
0.0272748350584946,0.0395738918699033,z
0.0344906970454013,0.0405023479705569,z
0.0199108615542703,0.0387719746065796,z
0.018718655024331,0.0402413681933668,z
0.027329823423189,0.0405191509462965,z
0.026393642645082,0.0399119043431574,z
0.0264245535041885,0.0405550147016243,z
0.034071050617494,0.0333552744423985,z
0.0355484257400054,0.0339352251357196,z
0.0404535011966145,0.0345311217947525,z
0.0382749286401727,0.0317120968049451,z
0.0382266909610706,0.0339300295659095,z
0.0459647272760186,0.0319509798229952,z
0.0442180436051002,0.0375662188466539,z
0.0399183248747295,0.0327612953430754,z
0.0399009871168477,0.0366351674323311,z
0.0337089567506514,0.035392031070518,z
0.0339407641427299,0.0359255775941984,z
0.0396684557311064,0.036084716869272,z
0.0351220164263168,0.0373088740637766,z
0.0385262824515136,0.0376466456126126,z
